hold_time_mean,hold_time_std,hold_time_median,flight_time_mean,flight_time_std,typing_speed_wpm,error_rate,pause_frequency,pause_duration_mean,burst_length_mean,rhythm_entropy,mouse_speed_mean,mouse_speed_std,direction_change_rate,click_count,rage_click_count,scroll_velocity_std,tab_switch_freq,switch_entropy,session_fragmentation,hour_of_day,day_of_week,session_duration_min,label,user_id,timestamp
151.24167741935483,115.67301234900243,122.674,4551.299766666667,16429.360764736724,34.83870967741935,0.2580645161290322,4.0,31149.23725,7.75,3.549143808493323,0.0,30.0,27.540000000000003,8262.0,0.0,30.0,0.0,0.0,0.1290322580645161,12,4,5.0,1,user 1,2021-09-10T12:05:18.375074
128.4063,25.53624451126248,130.14350000000002,3106.536833333333,22306.137319747748,39.333333333333336,0.0166666666666666,1.0,173001.006,60.0,7.120299223152278,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0166666666666666,12,4,5.0,1,user 1,2021-09-10T12:56:42.248174
14.634203689024394,135621.55270558302,135.138,1086.6195548780486,4626.527977668318,6.56,0.0304878048780487,9.0,15867.249777777775,18.22222222222222,4.244724955481339,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0548780487804878,13,4,5.0,1,user 1,2021-09-10T13:27:00.550791
41.792426444444445,345988.5844190485,144.115,3045.3810222222223,10695.612787917164,30.666666666666668,0.0555555555555555,21.0,11502.251190476189,4.285714285714286,3.492511006049714,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.2333333333333333,13,4,5.0,1,user 1,2021-09-10T13:57:10.866776
129.86568852459015,83.89489729684182,120.1775,3419.726909836065,26826.200309151816,38.032786885245905,0.0327868852459016,6.0,65321.87483333333,20.33333333333333,7.812328688113527,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0491803278688524,14,4,5.0,1,user 1,2021-09-10T14:27:53.702518
199.46632,288.68704339773666,121.674,7290.749680000001,15456.976751519427,32.0,0.04,5.0,34305.6924,5.0,2.077246245946268,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.2,15,4,5.0,1,user 1,2021-09-10T15:49:56.612707
254.6144545454545,443.3172666432785,140.1255,1580.366159090909,4719.263762235859,36.36363636363636,0.0227272727272727,4.0,13920.7855,11.0,2.952054826686372,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0909090909090909,16,4,5.0,1,user 1,2021-09-10T16:20:29.427681
210.8048421052632,219.6497320331884,142.618,168.64387368421058,157634.62278583186,29.47368421052632,0.0,5.0,149760.846,3.8,3.85969255942496,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.2631578947368421,16,4,5.0,1,user 1,2021-09-10T16:55:55.128698
254.54147222222224,282.8980790655872,149.599,4940.346888888889,9918.481657969263,27.77777777777778,0.0555555555555555,11.0,15224.02381818182,3.272727272727273,1.9795684437911152,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.3055555555555556,11,0,5.0,1,user 1,2021-09-13T11:45:28.373148
11.880546692307693,41594.97073287796,174.53199999999998,9.504437353846155,91054.50035233409,30.76923076923077,0.0,3.0,147216.39866666668,4.333333333333333,2.5590519328995027,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.2307692307692307,12,0,5.0,1,user 1,2021-09-13T12:15:38.189376
